App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Last Updated
ROBLOX,GAME,4.5,4447388,67,100000000,Free,0,Everyone 10+,20180731
Subway Surfers,GAME,4.5,27722264,76,1000000000,Free,0,Everyone 10+,20180801
Candy Crush Saga,GAME,4.4,22426677,77,500000000,Free,0,Everyone,20180802
Solitaire,GAME,4.7,254258,23,10000000,Free,0,Everyone,20180803
Bubble Shooter,GAME,4.5,148897,46,10000000,Free,0,Everyone,20180804
Hello Kitty Nail Salon,GAME,4.2,369203,24,50000000,Free,0,Everyone,20180805
slither.io,GAME,4.4,5234162,,100000000,Free,0,Everyone,20180806
Clash Royale,GAME,4.6,23133508,97,100000000,Free,0,Everyone 10+,20180807
Temple Run 2,GAME,4.3,8118609,62,500000000,Free,0,Everyone,20180808
Pou,GAME,4.3,10485308,24,500000000,Free,0,Everyone,20180809
Helix Jump,GAME,4.2,1497361,33,100000000,Free,0,Everyone,20180810
Block Puzzle,GAME,4.6,59800,7.8,5000000,Free,0,Everyone,20180811
Angry Birds Rio,GAME,4.4,2610526,46,100000000,Free,0,Everyone,20180812
Plants vs. Zombies FREE,GAME,4.4,4066989,69,100000000,Free,0,Everyone 10+,20180813
Sonic Dash,GAME,4.5,3778921,75,100000000,Free,0,Everyone,20180814
Candy Crush Soda Saga,GAME,4.4,6198563,67,100000000,Free,0,Everyone,20180815
Zombie Hunter King,GAME,4.3,10306,50,1000000,Free,0,Mature 17+,20180816
Clash of Clans,GAME,4.6,44891723,98,100000000,Free,0,Everyone 10+,20180817
Kick the Buddy,GAME,4.3,1000417,,50000000,Free,0,Teen,20180818
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9,5000000,Free,0,Everyone,20180819
PAC-MAN,GAME,4.2,685981,37,100000000,Free,0,Everyone,20180820
Super Jim Jump - pixel 3d,GAME,4.5,10393,18,1000000,Free,0,Everyone,20180821
8 Ball Pool,GAME,4.5,14198297,52,100000000,Free,0,Everyone,20180822
Magic Tiles 3,GAME,4.5,592068,,50000000,Free,0,Everyone,20180823
Bubble Witch 3 Saga,GAME,4.7,1732263,78,50000000,Free,0,Everyone,20180824
Word Search,GAME,4.7,295241,3.9,10000000,Free,0,Everyone,20180825
Granny,GAME,4.5,1135631,59,50000000,Free,0,Teen,20180826
Angry Birds Classic,GAME,4.4,5566669,97,100000000,Free,0,Everyone,20180827
Flow Free,GAME,4.3,1295557,11,100000000,Free,0,Everyone,20180828
Race the Traffic Moto,GAME,3.8,270687,38,10000000,Free,0,Teen,20180829
Fishdom,GAME,4.6,2157930,,10000000,Free,0,Everyone,20180830
Galaxy Attack: Alien Shooter,GAME,4.6,506275,,10000000,Free,0,Everyone,20180831
Zombie Tsunami,GAME,4.4,4920817,,100000000,Free,0,Everyone 10+,20180901
Bubble Shooter 2,GAME,4.3,23005,,5000000,Free,0,Everyone,20180902
Barbie™ Fashion Closet,GAME,4.1,68057,85,10000000,Free,0,Everyone,20180903
Candy Crush Jelly Saga,GAME,4.3,1300490,78,50000000,Free,0,Everyone,20180904
Hill Climb Racing,GAME,4.4,8923587,63,100000000,Free,0,Everyone,20180905
Gardenscapes,GAME,4.6,4128732,,50000000,Free,0,Everyone,20180906
Marble - Temple Quest,GAME,4.3,42053,24,10000000,Free,0,Everyone,20180907
Shooting King,GAME,4.4,257724,69,10000000,Free,0,Everyone 10+,20180908
Zombie Catchers,GAME,4.7,990491,75,10000000,Free,0,Everyone,20180909
Minion Rush: Despicable Me Official Game,GAME,4.5,10216538,,100000000,Free,0,Everyone 10+,20180910
Farm Heroes Saga,GAME,4.4,7614130,70,100000000,Free,0,Everyone,20180911
Geometry Dash World,GAME,4.6,760628,63,10000000,Free,0,Everyone,20180912
My Talking Angela,GAME,4.5,9881829,99,100000000,Free,0,Everyone,20180913
Cut the Rope FULL FREE,GAME,4.4,2123381,49,100000000,Free,0,Everyone,20180914
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7671249,,100000000,Free,0,Mature 17+,20180915
Subway Surfers,GAME,4.5,27723193,76,1000000000,Free,0,Everyone 10+,20180916
ROBLOX,GAME,4.5,4447346,67,100000000,Free,0,Everyone 10+,20180917
Pou,GAME,4.3,10485334,24,500000000,Free,0,Everyone,20180918
8 Ball Pool,GAME,4.5,14198602,52,100000000,Free,0,Everyone,20180919
Clash of Clans,GAME,4.6,44891723,98,100000000,Free,0,Everyone 10+,20180920
Candy Crush Saga,GAME,4.4,22428456,74,500000000,Free,0,Everyone,20180921
Plants vs. Zombies FREE,GAME,4.4,4066980,69,100000000,Free,0,Everyone 10+,20180922
Cooking Fever,GAME,4.5,3197865,82,100000000,Free,0,Everyone,20180923
Toon Blast,GAME,4.7,1351068,,10000000,Free,0,Everyone,20180924
Score! Hero,GAME,4.6,5418675,96,100000000,Free,0,Everyone,20180925
My Talking Angela,GAME,4.5,9881908,99,100000000,Free,0,Everyone,20180926
Bubble Shooter,GAME,4.5,148895,46,10000000,Free,0,Everyone,20180927
Toy Blast,GAME,4.7,1889250,,50000000,Free,0,Everyone,20180928
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99,10000000,Free,0,Everyone,20180929
Wordscapes,GAME,4.8,230710,87,10000000,Free,0,Everyone,20180930
Word Search,GAME,4.7,295305,3.9,10000000,Free,0,Everyone,20181001
Candy Crush Soda Saga,GAME,4.4,6198880,67,100000000,Free,0,Everyone,20181002
Fishdom,GAME,4.6,2157930,,10000000,Free,0,Everyone,20181003
Garena Free Fire,GAME,4.5,5465624,53,100000000,Free,0,Teen,20181004
Block Puzzle,GAME,4.6,59854,7.8,5000000,Free,0,Everyone,20181005
Bowmasters,GAME,4.7,1534466,,50000000,Free,0,Teen,20181006
Clash Royale,GAME,4.6,23134775,97,100000000,Free,0,Everyone 10+,20181007
My Talking Tom,GAME,4.5,14891223,,500000000,Free,0,Everyone,20181008
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,,100000000,Free,0,Mature 17+,20181009
Granny,GAME,4.5,1137271,59,50000000,Free,0,Teen,20181010
Galaxy Attack: Alien Shooter,GAME,4.6,506275,,10000000,Free,0,Everyone,20181011
Angry Birds Rio,GAME,4.4,2610622,46,100000000,Free,0,Everyone,20181012
Zombie Catchers,GAME,4.7,990586,75,10000000,Free,0,Everyone,20181013
Zombie Hunter King,GAME,4.3,10354,50,1000000,Free,0,Mature 17+,20181014
Temple Run 2,GAME,4.3,8118937,62,500000000,Free,0,Everyone,20181015
Zombie Tsunami,GAME,4.4,4921122,,100000000,Free,0,Everyone 10+,20181016
Jungle Marble Blast,GAME,4.3,18985,23,5000000,Free,0,Everyone,20181017
Rider,GAME,4.5,655067,72,10000000,Free,0,Teen,20181018
Farm Heroes Saga,GAME,4.4,7614271,70,100000000,Free,0,Everyone,20181019
Super Jim Jump - pixel 3d,GAME,4.5,10434,18,1000000,Free,0,Everyone,20181020
slither.io,GAME,4.4,5234825,,100000000,Free,0,Everyone,20181021
Roll the Ball® - slide puzzle,GAME,4.5,1385093,35,100000000,Free,0,Everyone,20181022
Talking Tom Gold Run,GAME,4.6,2698348,78,100000000,Free,0,Everyone,20181023
Pixel Art: Color by Number Game,GAME,4.7,1125017,25,10000000,Free,0,Everyone,20181024
Dream League Soccer 2018,GAME,4.6,9882639,74,100000000,Free,0,Everyone,20181025
Angry Birds Classic,GAME,4.4,5566805,97,100000000,Free,0,Everyone,20181026
Fruits Bomb,GAME,4.4,74673,17,10000000,Free,0,Everyone,20181027
Traffic Racer,GAME,4.5,5387639,53,100000000,Free,0,Everyone,20181028
Hill Climb Racing 2,GAME,4.6,2750410,,100000000,Free,0,Everyone,20181029
Flow Free,GAME,4.3,1295606,11,100000000,Free,0,Everyone,20181030
Knife Hit,GAME,4.5,461137,60,10000000,Free,0,Everyone,20181031
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57,50000000,Free,0,Everyone,20181101
Farm Fruit Pop: Party Time,GAME,4.4,9305,14,1000000,Free,0,Everyone,20181102
ROBLOX,GAME,4.5,4448791,67,100000000,Free,0,Everyone 10+,20181103
Helix Jump,GAME,4.2,1498648,33,100000000,Free,0,Everyone,20181104
Subway Surfers,GAME,4.5,27724094,76,1000000000,Free,0,Everyone 10+,20181105
Candy Crush Saga,GAME,4.4,22428456,74,500000000,Free,0,Everyone,20181106
Toon Blast,GAME,4.7,1351089,,10000000,Free,0,Everyone,20181107
Love Balls,GAME,4.2,360630,40,50000000,Free,0,Everyone,20181108
Granny,GAME,4.5,1137267,59,50000000,Free,0,Teen,20181109
8 Ball Pool,GAME,4.5,14200344,52,100000000,Free,0,Everyone,20181110
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7672495,,100000000,Free,0,Mature 17+,20181111
slither.io,GAME,4.4,5234810,,100000000,Free,0,Everyone,20181112
Hungry Shark Evolution,GAME,4.5,6074334,100,100000000,Free,0,Teen,20181113
Temple Run 2,GAME,4.3,8118937,62,500000000,Free,0,Everyone,20181114
Kick the Buddy,GAME,4.3,1000417,,50000000,Free,0,Teen,20181115
Magic Tiles 3,GAME,4.5,592282,,50000000,Free,0,Everyone,20181116
Bowmasters,GAME,4.7,1535084,,50000000,Free,0,Teen,20181117
Piano Tiles 2™,GAME,4.7,8118880,,100000000,Free,0,Everyone,20181118
Pokémon GO,GAME,4.1,10424925,85,100000000,Free,0,Everyone,20181119
Wordscapes,GAME,4.8,230727,87,10000000,Free,0,Everyone,20181120
Paint Hit,GAME,4.4,37023,33,10000000,Free,0,Everyone,20181121
Snake VS Block,GAME,4.2,422244,32,50000000,Free,0,Teen,20181122
Rolly Vortex,GAME,4.4,98123,40,10000000,Free,0,Teen,20181123
Woody Puzzle,GAME,4.7,21262,29,1000000,Free,0,Everyone,20181124
Stack Jump,GAME,4.3,118253,40,10000000,Free,0,Teen,20181125
Color by Number – New Coloring Book,GAME,4.7,141529,24,5000000,Free,0,Everyone 10+,20181126
The Cube,GAME,4.2,70226,38,5000000,Free,0,Everyone,20181127
Extreme Car Driving Simulator,GAME,4.3,2251012,52,100000000,Free,0,Everyone,20181128
Bricks n Balls,GAME,4.4,30253,,1000000,Free,0,Everyone,20181129
The Fish Master!,GAME,4.1,15763,54,1000000,Free,0,Everyone,20181130
Color Road,GAME,4.1,84911,71,10000000,Free,0,Everyone,20181201
Draw In,GAME,4.2,46416,73,10000000,Free,0,Everyone,20181202
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,946926,57,50000000,Free,0,Everyone,20181203
PLANK!,GAME,4.7,7196,38,500000,Free,0,Everyone,20181204
Looper!,GAME,4.6,48256,62,1000000,Free,0,Everyone,20181205
Trivia Crack,GAME,4.5,6427773,95,100000000,Free,0,Everyone,20181206
Will it Crush?,GAME,3.1,25825,16,5000000,Free,0,Everyone,20181207
Tomb of the Mask,GAME,4.1,55380,39,5000000,Free,0,Everyone,20181208
Baseball Boy!,GAME,3.4,148177,78,10000000,Free,0,Everyone,20181209
PUBG MOBILE,GAME,4.4,3715656,36,50000000,Free,0,Teen,20181210
Episode - Choose Your Story,GAME,4.3,1841061,,50000000,Free,0,Teen,20181211
Hello Stars,GAME,4.6,101686,31,10000000,Free,0,Everyone,20181212
Run Sausage Run!,GAME,4.4,275447,,10000000,Free,0,Everyone 10+,20181213
Tank Stars,GAME,4.3,174755,98,10000000,Free,0,Everyone 10+,20181214
Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24,50000000,Free,0,Everyone 10+,20181215
Hole.io,GAME,4.2,145353,85,10000000,Free,0,Teen,20181216
Helix Jump,GAME,4.2,1499373,33,100000000,Free,0,Everyone,20181217
Mini Golf King - Multiplayer Game,GAME,4.5,531458,100,5000000,Free,0,Everyone,20181218
PUBG MOBILE,GAME,4.4,3714270,36,50000000,Free,0,Teen,20181219
Flip the Gun - Simulator Game,GAME,4.2,195558,86,10000000,Free,0,Everyone,20181220
Mad Skills BMX 2,GAME,4.5,29940,80,1000000,Free,0,Everyone,20181221
Wordscapes,GAME,4.8,230727,87,10000000,Free,0,Everyone,20181222
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",GAME,4.4,41975,79,1000000,Free,0,Everyone,20181223
Word Link,GAME,4.6,216675,30,10000000,Free,0,Everyone,20181224
Last Day on Earth: Survival,GAME,4.5,2311785,87,10000000,Free,0,Teen,20181225
MARVEL Strike Force,GAME,4.3,165888,91,5000000,Free,0,Teen,20181226
Partymasters - Fun Idle Game,GAME,4.6,541144,63,10000000,Free,0,Teen,20181227
Harry Potter: Hogwarts Mystery,GAME,4.4,1107310,,10000000,Free,0,Teen,20181228
Offroad Outlaws,GAME,4.4,29168,,1000000,Free,0,Everyone,20181229
Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95,5000000,Free,0,Teen,20181230
DRAGON BALL LEGENDS,GAME,4.6,337752,48,5000000,Free,0,Teen,20181231
Disney Heroes: Battle Mode,GAME,4.6,102107,,5000000,Free,0,Everyone 10+,20190101
Homescapes,GAME,4.6,3093358,,10000000,Free,0,Everyone,20190102
New YAHTZEE® With Buddies Dice Game,GAME,4.1,42079,93,5000000,Free,0,Everyone,20190103
Word Crossy - A crossword game,GAME,4.5,240416,53,5000000,Free,0,Everyone,20190104
MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82,1000000,Free,0,Everyone,20190105
Hero Hunters,GAME,4.4,70747,99,5000000,Free,0,Teen,20190106
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49,10000000,Free,0,Everyone,20190107
Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,15403,25,1000000,Free,0,Everyone,20190108
TerraGenesis - Space Colony,GAME,4.3,38957,,1000000,Free,0,Everyone,20190109
Merge Dragons!,GAME,4.5,214777,91,5000000,Free,0,Everyone,20190110
SHADOWGUN LEGENDS,GAME,4.6,100609,52,1000000,Free,0,Teen,20190111
RULES OF SURVIVAL,GAME,4.2,1343866,56,10000000,Free,0,Teen,20190112
Mafia City,GAME,4.5,168717,56,10000000,Free,0,Mature 17+,20190113
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85,10000000,Free,0,Everyone,20190114
Dino War: Rise of Beasts,GAME,4.1,18996,81,1000000,Free,0,Teen,20190115
Tokyo Ghoul: Dark War,GAME,4.3,25094,82,1000000,Free,0,Teen,20190116
Last Shelter: Survival,GAME,4.4,93033,98,5000000,Free,0,Teen,20190117
Guns of Glory,GAME,4,120592,77,10000000,Free,0,Everyone 10+,20190118
Lineage 2: Revolution,GAME,4.2,187972,99,5000000,Free,0,Teen,20190119
Final Fantasy XV: A New Empire,GAME,4,484981,,10000000,Free,0,Everyone 10+,20190120
Girls' Frontline,GAME,4.2,2055,96,100000,Free,0,Teen,20190121
Chapters: Interactive Stories,GAME,4.5,73539,96,1000000,Free,0,Mature 17+,20190122
Honkai Impact 3rd,GAME,4.7,59017,82,1000000,Free,0,Teen,20190123
Master of Eternity(MOE),GAME,4.2,5829,70,100000,Free,0,Teen,20190124
The Game of Life,GAME,4.4,18621,63,100000,Paid,2.99,Everyone,20190125
Clue,GAME,4.6,19922,35,100000,Paid,1.99,Everyone 10+,20190126
The Room: Old Sins,GAME,4.9,21119,48,100000,Paid,4.99,Everyone,20190127
The Escapists,GAME,4.4,7412,84,100000,Paid,4.99,Teen,20190128
Farming Simulator 18,GAME,4.5,18125,15,100000,Paid,4.99,Everyone,20190129
RollerCoaster Tycoon® Classic,GAME,4.6,10795,69,100000,Paid,5.99,Everyone,20190130
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46,100000,Paid,6.99,Teen,20190131
Star Wars ™: DIRTY,GAME,4.5,38207,15,100000,Paid,9.99,Teen,20190201
Monument Valley 2,GAME,4.6,9394,33,100000,Paid,4.99,Everyone,20190202
DRAGON BALL LEGENDS,GAME,4.6,337913,48,5000000,Free,0,Teen,20190203
ROBLOX,GAME,4.5,4449882,67,100000000,Free,0,Everyone 10+,20190204
Candy Crush Saga,GAME,4.4,22429716,74,500000000,Free,0,Everyone,20190205
Angry Birds 2,GAME,4.6,3883589,57,100000000,Free,0,Everyone,20190206
8 Ball Pool,GAME,4.5,14200550,52,100000000,Free,0,Everyone,20190207
Fallout Shelter,GAME,4.6,2719142,25,10000000,Free,0,Teen,20190208
Harry Potter: Hogwarts Mystery,GAME,4.4,1107197,,10000000,Free,0,Teen,20190209
PUBG MOBILE,GAME,4.4,3716278,36,50000000,Free,0,Teen,20190210
The Sims™ FreePlay,GAME,4.3,931595,31,10000000,Free,0,Teen,20190211
MARVEL Strike Force,GAME,4.3,165928,91,5000000,Free,0,Teen,20190212
Best Fiends - Free Puzzle Game,GAME,4.6,1480189,,10000000,Free,0,Everyone,20190213
MARVEL Contest of Champions,GAME,4.3,2468063,92,50000000,Free,0,Teen,20190214
Jurassic World™ Alive,GAME,4.3,309176,70,5000000,Free,0,Everyone 10+,20190215
Choices: Stories You Play,GAME,4.6,807338,93,10000000,Free,0,Teen,20190216
Solitaire TriPeaks,GAME,4.5,446434,52,10000000,Free,0,Everyone,20190217
Merge Dragons!,GAME,4.5,214819,91,5000000,Free,0,Everyone,20190218
The Walking Dead: Road to Survival,GAME,4.2,522466,37,10000000,Free,0,Mature 17+,20190219
Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64,10000000,Free,0,Everyone 10+,20190220
Might & Magic: Elemental Guardians,GAME,4.3,32551,35,500000,Free,0,Mature 17+,20190221
Game of Thrones: Conquest™,GAME,4,90218,97,1000000,Free,0,Teen,20190222
Love Nikki-Dress UP Queen,GAME,4.4,212524,93,5000000,Free,0,Everyone,20190223
Summoners War,GAME,4.3,2045554,28,50000000,Free,0,Teen,20190224
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83,5000000,Free,0,Teen,20190225
Idle Heroes,GAME,4.7,416540,99,10000000,Free,0,Everyone 10+,20190226
Fate/Grand Order (English),GAME,4.4,16601,55,500000,Free,0,Teen,20190227
Honkai Impact 3rd,GAME,4.7,59017,82,1000000,Free,0,Teen,20190228
Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,3057481,14,50000000,Free,0,Teen,20190301
War and Order,GAME,4.3,224514,81,5000000,Free,0,Teen,20190302
Dungeon Hunter Champions: Epic Online Action RPG,GAME,4.2,26247,,1000000,Free,0,Teen,20190303
Candy Crush Saga,GAME,4.4,22430188,74,500000000,Free,0,Everyone,20190304
ROBLOX,GAME,4.5,4449910,67,100000000,Free,0,Everyone 10+,20190305
8 Ball Pool,GAME,4.5,14201891,52,100000000,Free,0,Everyone,20190306
Subway Surfers,GAME,4.5,27725352,76,1000000000,Free,0,Everyone 10+,20190307
Candy Crush Soda Saga,GAME,4.4,6199095,67,100000000,Free,0,Everyone,20190308
Zombie Hunter King,GAME,4.3,10493,50,1000000,Free,0,Mature 17+,20190309
Bubble Shooter,GAME,4.5,148945,46,10000000,Free,0,Everyone,20190310
Toon Blast,GAME,4.7,1351771,,10000000,Free,0,Everyone,20190311
Toy Blast,GAME,4.7,1889582,,50000000,Free,0,Everyone,20190312
Clash Royale,GAME,4.6,23136735,97,100000000,Free,0,Everyone 10+,20190313
Clash of Clans,GAME,4.6,44893888,98,100000000,Free,0,Everyone 10+,20190314
Farm Heroes Saga,GAME,4.4,7614415,70,100000000,Free,0,Everyone,20190315
Plants vs. Zombies FREE,GAME,4.4,4067651,69,100000000,Free,0,Everyone 10+,20190316
Word Search,GAME,4.7,295576,3.9,10000000,Free,0,Everyone,20190317
Block Puzzle,GAME,4.6,59907,7.8,5000000,Free,0,Everyone,20190318
Super Jim Jump - pixel 3d,GAME,4.5,10460,18,1000000,Free,0,Everyone,20190319
Pou,GAME,4.3,10486018,24,500000000,Free,0,Everyone,20190320
Temple Run 2,GAME,4.3,8119151,62,500000000,Free,0,Everyone,20190321
Flow Free,GAME,4.3,1295625,11,100000000,Free,0,Everyone,20190322
Homescapes,GAME,4.6,3093932,,10000000,Free,0,Everyone,20190323
Wordscapes,GAME,4.8,230849,87,10000000,Free,0,Everyone,20190324
My Talking Angela,GAME,4.5,9883367,99,100000000,Free,0,Everyone,20190325
slither.io,GAME,4.4,5235294,,100000000,Free,0,Everyone,20190326
Cooking Fever,GAME,4.5,3198176,82,100000000,Free,0,Everyone,20190327
Yes day,GAME,4.5,10055521,94,100000000,Free,0,Everyone,20190328
Gardenscapes,GAME,4.6,4129665,,50000000,Free,0,Everyone,20190329
Fishdom,GAME,4.6,2158580,,10000000,Free,0,Everyone,20190330
Galaxy Attack: Alien Shooter,GAME,4.6,506593,,10000000,Free,0,Everyone,20190331
Score! Hero,GAME,4.6,5419676,96,100000000,Free,0,Everyone,20190401
Zombie Catchers,GAME,4.7,990723,75,10000000,Free,0,Everyone,20190402
Magic Tiles 3,GAME,4.5,592504,,50000000,Free,0,Everyone,20190403
Jewels Star: OZ adventure,GAME,4.5,21892,14,1000000,Free,0,Everyone,20190404
Granny,GAME,4.5,1138239,59,50000000,Free,0,Teen,20190405
Dream League Soccer 2018,GAME,4.6,9883806,74,100000000,Free,0,Everyone,20190406
Sweet Fruit Candy,GAME,4.5,197540,29,10000000,Free,0,Everyone,20190407
Fruits Bomb,GAME,4.4,74695,17,10000000,Free,0,Everyone,20190408
Angry Birds Classic,GAME,4.4,5566889,97,100000000,Free,0,Everyone,20190409
Talking Tom Gold Run,GAME,4.6,2698882,78,100000000,Free,0,Everyone,20190410
Bowmasters,GAME,4.7,1535973,,50000000,Free,0,Teen,20190411
My Talking Tom,GAME,4.5,14892469,,500000000,Free,0,Everyone,20190412
Hill Climb Racing,GAME,4.4,8923818,63,100000000,Free,0,Everyone,20190413
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,,100000000,Free,0,Mature 17+,20190414
Pixel Art: Color by Number Game,GAME,4.7,1125438,25,10000000,Free,0,Everyone,20190415
Shoot Bubble - Fruit Splash,GAME,4.6,29445,29,5000000,Free,0,Everyone,20190416
Rider,GAME,4.5,655145,72,10000000,Free,0,Teen,20190417
Zombie Tsunami,GAME,4.4,4921451,,100000000,Free,0,Everyone 10+,20190418
Garena Free Fire,GAME,4.5,5476569,53,100000000,Free,0,Teen,20190419
Doodle Jump,GAME,4.3,1083571,,50000000,Free,0,Everyone,20190420
Subway Surfers,GAME,4.5,27725352,76,1000000000,Free,0,Everyone 10+,20190421
Helix Jump,GAME,4.2,1500999,33,100000000,Free,0,Everyone,20190422
Crossy Road,GAME,4.5,4230886,60,100000000,Free,0,Everyone,20190423
Temple Run 2,GAME,4.3,8119154,62,500000000,Free,0,Everyone,20190424
slither.io,GAME,4.4,5235294,,100000000,Free,0,Everyone,20190425
Bowmasters,GAME,4.7,1535973,,50000000,Free,0,Teen,20190426
Talking Tom Gold Run,GAME,4.6,2698889,78,100000000,Free,0,Everyone,20190427
Zombie Catchers,GAME,4.7,990663,75,10000000,Free,0,Everyone,20190428
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7674252,,100000000,Free,0,Mature 17+,20190429
Swamp Attack,GAME,4.4,2119218,70,50000000,Free,0,Everyone 10+,20190430
Earn to Die 2,GAME,4.6,1327265,99,50000000,Free,0,Teen,20190501
