App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Last Updated
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,184210,99,10000000,Free,0,Everyone,20190502
Kick the Buddy,GAME,4.3,1003269,,50000000,Free,0,Teen,20190503
Hungry Shark World,GAME,4.5,1242855,27,50000000,Free,0,Teen,20190504
Dude Perfect 2,GAME,4.5,401425,70,10000000,Free,0,Everyone,20190505
Shadow Fight 2,GAME,4.6,10979062,88,100000000,Free,0,Everyone 10+,20190506
Alto's Adventure,GAME,4.6,515657,63,10000000,Free,0,Everyone,20190507
DEER HUNTER 2018,GAME,4.3,955656,82,10000000,Free,0,Teen,20190508
DRAGON BALL LEGENDS,GAME,4.6,337913,48,5000000,Free,0,Teen,20190509
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468591,,50000000,Free,0,Mature 17+,20190510
Cover Fire: offline shooting games for free,GAME,4.7,725897,31,10000000,Free,0,Teen,20190511
Anger of stick 5 : zombie,GAME,4.5,549039,23,50000000,Free,0,Teen,20190512
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,,50000000,Free,0,Everyone,20190513
Soul Knight,GAME,4.7,292164,59,10000000,Free,0,Everyone 10+,20190514
Major Mayhem,GAME,4.6,520962,39,10000000,Free,0,Teen,20190515
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381820,54,10000000,Free,0,Teen,20190516
Strawberry Shortcake BerryRush,GAME,4.3,525517,48,10000000,Free,0,Everyone,20190517
Extreme Match,GAME,4.5,696,,100000,Free,0,Everyone,20190518
Power Rangers Dino Charge,GAME,4.3,194969,30,10000000,Free,0,Everyone 10+,20190519
Zombie Hunter: Post Apocalypse Survival Games,GAME,4.4,327599,66,10000000,Free,0,Teen,20190520
Agar.io,GAME,4.2,3816799,32,100000000,Free,0,Everyone,20190521
Zombie Hunter King,GAME,4.3,10538,50,1000000,Free,0,Mature 17+,20190522
Garena Free Fire,GAME,4.5,5476569,53,100000000,Free,0,Teen,20190523
Battlelands Royale,GAME,4.4,105620,61,1000000,Free,0,Everyone 10+,20190524
Once Upon a Tower,GAME,4.7,37139,49,1000000,Free,0,Everyone 10+,20190525
TEKKEN™,GAME,4.2,147791,38,5000000,Free,0,Teen,20190526
diep.io,GAME,4.1,347883,20,10000000,Free,0,Everyone,20190527
Arrow.io,GAME,4.5,343263,,10000000,Free,0,Everyone 10+,20190528
BEYBLADE BURST app,GAME,4.5,216849,,10000000,Free,0,Everyone,20190529
Dragon Hills,GAME,4.5,354373,66,10000000,Free,0,Everyone 10+,20190530
Bus Rush: Subway Edition,GAME,4.1,753043,57,100000000,Free,0,Teen,20190531
DC Super Hero Girls™,GAME,4.3,43055,95,5000000,Free,0,Everyone,20190601
Tiny Archers,GAME,4.5,80678,,5000000,Free,0,Mature 17+,20190602
Metal Soldiers 2,GAME,4.4,153381,,10000000,Free,0,Teen,20190603
Runner 3d like,GAME,4.5,559,32,100000,Free,0,Everyone 10+,20190604
War Robots,GAME,4.6,3073251,33,50000000,Free,0,Everyone 10+,20190605
Dinosaur Simulator: Dino World,GAME,4,26649,66,5000000,Free,0,Teen,20190606
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75,50000000,Free,0,Teen,20190607
Quiz: Logo game,GAME,4.5,306764,29,10000000,Free,0,Everyone,20190608
Candy Crush Saga,GAME,4.4,22430188,74,500000000,Free,0,Everyone,20190609
Plants vs. Zombies FREE,GAME,4.4,4067651,69,100000000,Free,0,Everyone 10+,20190610
Block Puzzle,GAME,4.6,59907,7.8,5000000,Free,0,Everyone,20190611
Helix Jump,GAME,4.2,1500622,33,100000000,Free,0,Everyone,20190612
8 Ball Pool,GAME,4.5,14201604,52,100000000,Free,0,Everyone,20190613
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50,10000000,Free,0,Everyone,20190614
Bubble Shooter,GAME,4.5,148990,46,10000000,Free,0,Everyone,20190615
Solitaire,GAME,4.7,154264,12,10000000,Free,0,Everyone,20190616
Bubble Shooter Genies,GAME,4.5,26985,41,5000000,Free,0,Everyone,20190617
Blossom Blast Saga,GAME,4.5,1125438,63,10000000,Free,0,Everyone,20190618
Traffic Racer,GAME,4.5,5387781,53,100000000,Free,0,Everyone,20190619
Hill Climb Racing,GAME,4.4,8923847,63,100000000,Free,0,Everyone,20190620
Earn to Die 2,GAME,4.6,1327269,99,50000000,Free,0,Teen,20190621
Bubble Shooter 2,GAME,4.3,23043,,5000000,Free,0,Everyone,20190622
Candy Bomb,GAME,4.4,42145,20,10000000,Free,0,Everyone,20190623
Flow Free,GAME,4.3,1295625,11,100000000,Free,0,Everyone,20190624
Zombie Catchers,GAME,4.7,990796,75,10000000,Free,0,Everyone,20190625
Gems or jewels ?,GAME,4.7,171448,13,10000000,Free,0,Teen,20190626
Angry Birds Rio,GAME,4.4,2610680,46,100000000,Free,0,Everyone,20190627
Candy Crush Jelly Saga,GAME,4.3,1300619,78,50000000,Free,0,Everyone,20190628
Cut the Rope FULL FREE,GAME,4.4,2123793,49,100000000,Free,0,Everyone,20190629
Jewels Star: OZ adventure,GAME,4.5,21892,14,1000000,Free,0,Everyone,20190630
Hungry Shark Evolution,GAME,4.5,6074627,100,100000000,Free,0,Teen,20190701
Power Pop Bubbles,GAME,4.4,104303,,10000000,Free,0,Everyone,20190702
Angry Birds Classic,GAME,4.4,5566908,97,100000000,Free,0,Everyone,20190703
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,,10000000,Free,0,Everyone,20190704
Hill Climb Racing 2,GAME,4.6,2750645,,100000000,Free,0,Everyone,20190705
Jewels classic Prince,GAME,4.4,47644,15,5000000,Free,0,Everyone,20190706
Fruit Block - Puzzle Legend,GAME,4.6,125647,33,10000000,Free,0,Everyone,20190707
Bubble Shooter Space,GAME,4.2,4355,,1000000,Free,0,Everyone,20190708
Swamp Attack,GAME,4.4,2119235,70,50000000,Free,0,Everyone 10+,20190709
1LINE – One Line with One Touch,GAME,4.6,214878,10,10000000,Free,0,Everyone,20190710
Stick War: Legacy,GAME,4.6,811040,77,10000000,Free,0,Teen,20190711
Bowmasters,GAME,4.7,1536349,,50000000,Free,0,Teen,20190712
Magic Tiles 3,GAME,4.5,592504,,50000000,Free,0,Everyone,20190713
Block Puzzle Classic Legend !,GAME,4.2,17044,4.9,5000000,Free,0,Everyone,20190714
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,,10000000,Free,0,Everyone,20190715
Pixel Art: Color by Number Game,GAME,4.7,1125566,25,10000000,Free,0,Everyone,20190716
Score! Hero,GAME,4.6,5419676,96,100000000,Free,0,Everyone,20190717
Super Jabber Jump 3,GAME,4.3,34494,23,5000000,Free,0,Everyone 10+,20190718
Rush,GAME,4.6,260651,51,10000000,Free,0,Everyone,20190719
Jetpack Joyride,GAME,4.4,4638163,96,100000000,Free,0,Everyone 10+,20190720
Zombie Tsunami,GAME,4.4,4921409,,100000000,Free,0,Everyone 10+,20190721
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,,50000000,Free,0,Mature 17+,20190722
Word Search,GAME,4.2,344585,,50000000,Free,0,Everyone,20190723
Farm Heroes Saga,GAME,4.4,7614407,70,100000000,Free,0,Everyone,20190724
Racing in Car 2,GAME,4.3,234110,38,50000000,Free,0,Everyone,20190725
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24,10000000,Free,0,Everyone,20190726
Rope Hero Return of a Legend,GAME,4.3,9951,96,1000000,Free,0,Mature 17+,20190727
Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24,10000000,Free,0,Everyone,20190728
Agar.io,GAME,4.2,3815614,32,100000000,Free,0,Everyone,20190729
Angry Birds Classic,GAME,4.4,5565856,97,100000000,Free,0,Everyone,20190730
UNO ™ & Friends,GAME,4.1,1728557,,50000000,Free,0,Everyone,20190731
4 in a Row,GAME,3.8,4257,,500000,Free,0,Everyone,20190801
Bubble Shooter,GAME,4.5,43576,50,5000000,Free,0,Everyone,20190802
Subway Surfers,GAME,4.5,27711703,76,1000000000,Free,0,Everyone 10+,20190803
Super Mario Run,GAME,3.7,1221896,70,100000000,Free,0,Everyone,20190804
STARDOM: THE A-LIST,GAME,4.5,152658,29,1000000,Free,0,Teen,20190805
Glow Hockey,GAME,4.1,1703479,,100000000,Free,0,Everyone,20190806
Pokémon GO,GAME,4.1,10421284,85,100000000,Free,0,Everyone,20190807
Asphalt 8: Airborne,GAME,4.5,8389714,92,100000000,Free,0,Teen,20190808
PAC-MAN,GAME,4.2,685450,37,100000000,Free,0,Everyone,20190809
Lep's World 2 🍀🍀,GAME,4.3,798522,57,100000000,Free,0,Everyone 10+,20190810
Law of Creation: A Playable Manga,GAME,4.5,13118,47,500000,Free,0,Teen,20190811
Real City Car Driver,GAME,3.7,413609,22,10000000,Free,0,Mature 17+,20190812
Rolling Sky,GAME,4.5,1117212,50,50000000,Free,0,Everyone,20190813
4 in a row,GAME,4.3,47698,4.1,5000000,Free,0,Everyone,20190814
Four In A Line Free,GAME,4.3,133195,11,5000000,Free,0,Everyone,20190815
Alto's Adventure,GAME,4.6,515240,63,10000000,Free,0,Everyone,20190816
Draw A Stickman,GAME,3.4,29265,17,1000000,Free,0,Everyone,20190817
Zombie Tsunami,GAME,4.4,4918776,,100000000,Free,0,Everyone 10+,20190818
Four In A Line,GAME,3.8,22191,3,1000000,Free,0,Everyone,20190819
Cardi B Piano Game,GAME,3.1,50,7.4,10000,Free,0,Everyone,20190820
MORTAL KOMBAT X,GAME,4.4,3039889,18,10000000,Free,0,Mature 17+,20190821
► MultiCraft ― Free Miner! 👍,GAME,4.3,1305050,,50000000,Free,0,Everyone 10+,20190822
Pixel Gun 3D: Survival shooter & Battle Royale,GAME,4.5,4487182,55,50000000,Free,0,Teen,20190823
B-52 Spirits of Glory Deluxe,GAME,4.3,12,29,100,Paid,0.99,Everyone,20190824
Hungry Shark Evolution,GAME,4.5,6071542,100,100000000,Free,0,Teen,20190825
Perfect Piano,GAME,4.2,828489,,50000000,Free,0,Everyone,20190826
B-Grade Renegade,GAME,3.9,24,64,1000,Paid,1.99,Teen,20190827
Critical Ops,GAME,4.4,1397944,50,10000000,Free,0,Teen,20190828
Hill Climb Racing,GAME,4.4,8921451,63,100000000,Free,0,Everyone,20190829
Hitman Sniper,GAME,4.6,408292,29,10000000,Paid,0.99,Mature 17+,20190830
FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14,10000000,Free,0,Mature 17+,20190831
Fruit Ninja®,GAME,4.3,5091448,41,100000000,Free,0,Everyone,20190901
Crossy Road,GAME,4.5,4229977,60,100000000,Free,0,Everyone,20190902
Temple Run 2,GAME,4.3,8116142,62,500000000,Free,0,Everyone,20190903
Beach Buggy Blitz,GAME,4.2,640974,47,50000000,Free,0,Everyone,20190904
Vector,GAME,4.4,3058687,89,100000000,Free,0,Everyone 10+,20190905
Dr. Driving,GAME,4.5,4972230,9.9,100000000,Free,0,Everyone,20190906
D Day World War II Commando Survival Shooting,GAME,4.2,951,64,100000,Free,0,Teen,20190907
Geometry Dash Meltdown,GAME,4.6,1591129,48,50000000,Free,0,Everyone,20190908
Sniper 3D Gun Shooter: Free Shooting Games - FPS,GAME,4.6,7657490,,100000000,Free,0,Mature 17+,20190909
Bike Race Free - Top Motorcycle Racing Games,GAME,4.5,2586261,,100000000,Free,0,Everyone,20190910
Smash Hit,GAME,4.5,4147718,79,100000000,Free,0,Everyone,20190911
Temple Run,GAME,4.3,4000433,42,100000000,Free,0,Everyone,20190912
Super Car F. Mod for MCPE,GAME,3.6,214,4.9,50000,Free,0,Everyone,20190913
Geometry Dash World,GAME,4.6,759838,63,10000000,Free,0,Everyone,20190914
PUBG MOBILE,GAME,4.4,3697174,36,50000000,Free,0,Teen,20190915
Gangstar Vegas - mafia game,GAME,4.5,4830407,32,50000000,Free,0,Mature 17+,20190916
Granny,GAME,4.5,1128805,59,50000000,Free,0,Teen,20190917
Rolling G Sky,GAME,3.6,2065,25,100000,Free,0,Everyone,20190918
G-Switch 2,GAME,4.4,12683,19,1000000,Free,0,Everyone,20190919
G-Switch 3,GAME,4.6,3656,39,100000,Free,0,Everyone,20190920
G-Switch,GAME,3.8,4116,8.8,100000,Free,0,Everyone,20190921
Radial-G : Infinity,GAME,3.6,517,47,50000,Free,0,Everyone,20190922
Helix Jump,GAME,4.2,1485806,33,100000000,Free,0,Everyone,20190923
Geometry Dash Lite,GAME,4.5,6181640,58,100000000,Free,0,Everyone,20190924
Car Driving Simulator Drift,GAME,4.4,19816,57,1000000,Free,0,Everyone,20190925
The World Ends With You,GAME,4.6,4108,13,10000,Paid,17.99,Everyone 10+,20190926
RC City Police Heavy Traffic Racer,GAME,4.4,3250,27,1000000,Free,0,Everyone,20190927
Motorbike Driving Simulator 3D,GAME,3.9,178723,65,10000000,Free,0,Everyone,20190928
Helix,GAME,3.9,2454,37,500000,Free,0,Everyone,20190929
slither.io,GAME,4.4,5231553,,100000000,Free,0,Everyone,20190930
Solitaire!,GAME,4.7,403911,23,10000000,Free,0,Everyone,20191001
iGun Pro -The Original Gun App,GAME,4.2,249308,55,10000000,Free,0,Everyone,20191002
Sonic Dash,GAME,4.5,3777822,75,100000000,Free,0,Everyone,20191003
NinJump,GAME,4.3,421000,36,10000000,Free,0,Everyone,20191004
Zombie Catchers,GAME,4.7,989158,75,10000000,Free,0,Everyone,20191005
Fidget Spinner,GAME,4.2,307398,9.9,10000000,Free,0,Everyone,20191006
Jetpack Joyride,GAME,4.4,4637439,96,100000000,Free,0,Everyone 10+,20191007
Anger of stick 5 : zombie,GAME,4.5,547644,23,50000000,Free,0,Teen,20191008
J-Stars Victory VS Guide,GAME,4.1,609,13,10000,Free,0,Everyone,20191009
KIM KARDASHIAN: HOLLYWOOD,GAME,4.3,1017408,34,10000000,Free,0,Teen,20191010
Magic Tiles - TWICE Edition (K-Pop),GAME,4.4,2351,62,100000,Free,0,Everyone,20191011
Magic Tiles - Blackpink Edition (K-Pop),GAME,4.6,4304,71,100000,Free,0,Everyone,20191012
Korean Dungeon: K-Word 1000,GAME,4.7,703,40,10000,Free,0,Everyone 10+,20191013
Talking Tom Gold Run,GAME,4.6,2694969,78,100000000,Free,0,Everyone,20191014
Lep's World 🍀,GAME,4.3,696019,,50000000,Free,0,Everyone 10+,20191015
Last Day on Earth: Survival,GAME,4.5,2308916,87,10000000,Free,0,Teen,20191016
Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185148,29,100000000,Free,0,Everyone,20191017
Cheating Tom 3 - Genius School,GAME,4.3,90415,84,10000000,Free,0,Everyone,20191018
M3-X5-X6-M-İ3-İ8 RACİNG 2018,GAME,4.4,596,44,100000,Free,0,Everyone,20191019
M-acceleration 3D Car Racing,GAME,3.9,1202,34,100000,Free,0,Everyone,20191020
Super Hero M Craft Run,GAME,3.7,303,38,100000,Free,0,Everyone,20191021
Don't Hug Me I'm So Scared,GAME,3.5,901,63,50000,Free,0,Everyone,20191022
Rope'n'Fly 4,GAME,4.1,234606,59,10000000,Free,0,Everyone,20191023
Cops N Robbers - FPS Mini Game,GAME,4.2,156862,64,5000000,Free,0,Everyone 10+,20191024
Cops N Robbers 2,GAME,4.1,63680,46,1000000,Free,0,Everyone 10+,20191025
Hide N Seek : Mini Game,GAME,3.8,4719,54,500000,Free,0,Everyone,20191026
Rope'n'Fly 3 - Dusk Till Dawn,GAME,4,166033,23,10000000,Free,0,Everyone 10+,20191027
Drag'n'Boom,GAME,4.8,133180,54,1000000,Free,0,Everyone 10+,20191028
Traps n' Gemstones,GAME,4.5,413,9.1,1000,Paid,4.99,Everyone,20191029
Cops N Robbers,GAME,4,37789,58,1000000,Free,0,Teen,20191030
Ghosts'n Goblins MOBILE,GAME,3.8,466,28,10000,Paid,0.99,Everyone,20191031
Mopar Drag N Brag,GAME,4.2,30630,17,1000000,Free,0,Everyone,20191101
Draw N Guess Multiplayer,GAME,3.9,29505,69,1000000,Free,0,Everyone,20191102
Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13,1000,Paid,0.99,Everyone,20191103
Rock N' Cash Casino Slots -Free Vegas Slot Games,GAME,4.7,6187,33,100000,Free,0,Teen,20191104
Rock n Roll Music Quiz Game,GAME,3.7,80,7.6,10000,Free,0,Everyone,20191105
Jump'N'Shoot Attack,GAME,4.1,155,32,1000,Paid,2.49,Everyone,20191106
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49,5000,Paid,1.99,Everyone 10+,20191107
Oddworld: New 'n' Tasty,GAME,4.6,1475,34,10000,Paid,4.99,Teen,20191108
Drink-O-Tron The Drinking Game,GAME,4.1,140,45,50000,Free,0,Mature 17+,20191109
The Maze Runner,GAME,4,428268,22,10000000,Free,0,Everyone,20191110
The Q - Live Trivia Game Network,GAME,2.7,1486,14,100000,Free,0,Everyone,20191111
Q*bert: Rebooted,GAME,4.3,13788,55,1000000,Free,0,Everyone,20191112
Gun Shoot War Q,GAME,4.2,26893,20,1000000,Free,0,Teen,20191113
DJMAX TECHNIKA Q - Music Game,GAME,4.3,21107,95,100000,Free,0,Everyone,20191114
R-TYPE II,GAME,4.3,5682,37,50000,Paid,1.99,Everyone,20191115
R-TYPE,GAME,4.5,7687,23,100000,Paid,1.99,Everyone,20191116
Stupid Zombies,GAME,4.5,464900,33,10000000,Free,0,Teen,20191117
Crime Wars S. Andreas,GAME,4.3,5785,93,500000,Free,0,Teen,20191118
Dino T-Rex,GAME,4,69115,2.4,10000000,Free,0,Everyone,20191119
Don't Starve: Pocket Edition,GAME,4.4,17988,7.9,100000,Paid,4.99,Teen,20191120
Don't Starve: Shipwrecked,GAME,4.1,1468,4.9,10000,Paid,4.99,Teen,20191121
Ludo - Don't get angry,GAME,4.2,131,23,1000,Paid,1.61,Everyone,20191122
U-48 Submarine Commander Free,GAME,3.5,4575,3.8,500000,Free,0,Everyone,20191123
Identity V,GAME,4.2,109263,38,1000000,Free,0,Teen,20191124
V for Voodoo,GAME,4.2,16876,59,1000000,Free,0,Teen,20191125
Sin City Crime Simulator V - Gangster,GAME,4.2,2113,67,100000,Free,0,Everyone 10+,20191126
The Gang Sniper V. Pocket Edition.,GAME,3.9,6121,61,500000,Free,0,Mature 17+,20191127
San Andreas: Gang Crime V,GAME,4.1,2399,42,100000,Free,0,Mature 17+,20191128
Mental Hospital V,GAME,4.2,2460,25,50000,Paid,0.99,Mature 17+,20191129
Grand Stickman Cover V,GAME,4,1744,37,100000,Free,0,Mature 17+,20191130
Words With Friends Classic,GAME,4.3,1704112,,50000000,Free,0,Everyone,20191201
Draw Something Classic,GAME,4.2,1092106,43,50000000,Free,0,Everyone,20191202
Extreme X Ray Robot Stunts,GAME,4.3,10806,49,5000000,Free,0,Everyone,20191203
Casino X - Free Online Slots,GAME,4.5,30515,,1000000,Free,0,Teen,20191204
X-WOLF,GAME,4.2,4878,27,100000,Free,0,Everyone 10+,20191205
Hero Fighter X,GAME,4.5,24210,45,500000,Free,0,Teen,20191206
Slendrina X,GAME,4.4,12736,56,1000000,Free,0,Teen,20191207
Robocar X Ray,GAME,4.5,3432,99,1000000,Free,0,Mature 17+,20191208
Space X: Sky Wars of Air Force,GAME,4.5,10748,47,1000000,Free,0,Everyone,20191209
Real Gangster Crime,GAME,4.3,285814,84,10000000,Free,0,Teen,20191210
Gangster Town,GAME,4.1,74842,99,5000000,Free,0,Teen,20191211
Rope Hero 3,GAME,4.4,45871,99,5000000,Free,0,Teen,20191212
Experiment Z - Zombie,GAME,4,229329,88,10000000,Free,0,Mature 17+,20191213
Z Champions,GAME,4.7,96028,59,1000000,Free,0,Teen,20191214
WithstandZ - Zombie Survival!,GAME,4.3,121612,59,1000000,Free,0,Teen,20191215
Zombie War Z : Hero Survival Rules,GAME,3.9,1987,62,100000,Free,0,Mature 17+,20191216
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80,10000000,Free,0,Teen,20191217
Cube Z (Pixel Zombies),GAME,4.2,41444,56,1000000,Free,0,Teen,20191218
GALAK-Z: Variant Mobile,GAME,3.9,145,79,10000,Free,0,Everyone,20191219
Reload: The Z-Team,GAME,4.3,1655,91,100000,Free,0,Everyone 10+,20191220
Rage Z: Multiplayer Zombie FPS Online Shooter,GAME,4.1,11258,44,500000,Free,0,Mature 17+,20191221
Pixel Z Gunner 3D - Battle Survival Fps,GAME,4.2,11408,96,1000000,Free,0,Teen,20191222
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306,61,10000,Free,0,Everyone,20191223
Mini DAYZ: Zombie Survival,GAME,4.1,94661,,1000000,Free,0,Teen,20191224
Zombie Avengers:(Dreamsky)Stickman War Z,GAME,4.3,13604,96,1000000,Paid,0.99,Teen,20191225
Route Z,GAME,3.9,24697,16,500000,Free,0,Teen,20191226
Dragon X Adventure: Warrior Z,GAME,4.3,8537,29,100000,Free,0,Everyone 10+,20191227
Ultimate Fighter Z,GAME,4.3,180,24,5000,Free,0,Everyone,20191228
Angry Birds Rio,GAME,4.4,2610328,46,100000000,Free,0,Everyone,20191229
Angry Birds Friends,GAME,4.2,829753,48,50000000,Free,0,Everyone,20191230
Angry Birds Go!,GAME,4.2,3846378,82,50000000,Free,0,Everyone,20191231
Angry Birds Star Wars,GAME,4.3,1218055,45,100000000,Free,0,Everyone,20200101
Assassin's Creed Identity,GAME,3.7,42529,92,500000,Paid,1.99,Teen,20200102
ONScripter Plus (Ad Free),GAME,4.5,100,17,1000,Paid,3.99,Everyone,20200103
Solitaire: Decked Out Ad Free,GAME,4.9,37302,35,500000,Free,0,Everyone,20200104
AE Jewels 2: Island Adventures,GAME,4.2,652,30,10000,Free,0,Everyone,20200105
AE Bingo: Offline Bingo Games,GAME,4.4,61746,,500000,Free,0,Teen,20200106
AE Jewels,GAME,4.2,960,18,50000,Free,0,Everyone,20200107
AE Spider Solitaire,GAME,4.5,17263,,500000,Free,0,Everyone,20200108
AE Coin Mania : Arcade Fun,GAME,4.3,30002,29,1000000,Free,0,Teen,20200109
Mupen64+AE FREE (N64 Emulator),GAME,4,41759,12,1000000,Free,0,Everyone,20200110
Mupen64Plus AE (N64 Emulator),GAME,4.2,4569,12,100000,Paid,0.99,Everyone,20200111
AE Lucky Fishing,GAME,4.3,18277,17,1000000,Free,0,Teen,20200112
AE Video Poker,GAME,4,721,18,50000,Free,0,Teen,20200113
AE Solitaire,GAME,4.3,1776,26,50000,Free,0,Everyone,20200114
AE Blackjack,GAME,4,1417,17,100000,Free,0,Teen,20200115
AE Gun Ball: arcade ball games,GAME,3.7,8581,12,1000000,Free,0,Everyone,20200116
AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,,5000000,Free,0,Everyone,20200117
AE GTO Racing,GAME,3.9,6988,35,100000,Free,0,Everyone 10+,20200118
AE 3D Moto 3,GAME,3.9,2588,26,100000,Free,0,Everyone 10+,20200119
AE FreeCell,GAME,4.2,358,15,10000,Free,0,Everyone,20200120
AE City Jump,GAME,4.5,804,27,10000,Free,0,Everyone,20200121
AE Angry Chef,GAME,4.1,533,39,10000,Free,0,Everyone 10+,20200122
AE Master Moto,GAME,4,17876,37,1000000,Free,0,Everyone,20200123
AE Fishing Hunter,GAME,4.4,14,6.6,1000,Free,0,Everyone,20200124
Gun Strike Shoot,GAME,4.1,94761,17,10000000,Free,0,Teen,20200125
AG Drive 3D,GAME,3.8,164,22,10000,Free,0,Everyone,20200126
VR AG Racing for Cardboard,GAME,3.4,13,27,1000,Free,0,Everyone,20200127
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,86,100000,Free,0,Teen,20200128
Ah! Coins,GAME,3.4,256,9.1,50000,Free,0,Everyone,20200129
AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42,50000,Paid,1.99,Everyone,20200130
